dataset,epochs,validation,learnrate,l2norm,hidden,bases,dropout,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
aifb,50,False,0.01,0.01,64,4,0.5,0.016095793,1.0,0.016095793,1.0,0.24748948,0.8888888888888888
aifb,50,False,0.01,0.01,64,4,0.8,0.014597583,1.0,0.014597583,1.0,0.24902827,0.9166666666666666
aifb,50,False,0.01,0.01,64,4,0.9,0.03016183,1.0,0.03016183,1.0,0.24556822,0.8888888888888888
aifb,50,False,0.01,0.01,64,8,0.2,0.012641322,1.0,0.012641322,1.0,0.26971456,0.8888888888888888
aifb,50,False,0.01,0.01,64,8,0.5,0.010024394,1.0,0.010024394,1.0,0.24274114,0.8888888888888888
aifb,50,False,0.01,0.01,64,8,0.8,0.010740105,1.0,0.010740105,1.0,0.22618617,0.9166666666666666
aifb,50,False,0.01,0.01,64,8,0.9,0.008091005,1.0,0.008091005,1.0,0.221205,0.9166666666666666
aifb,50,False,0.01,0.01,64,16,0.2,0.008815994,1.0,0.008815994,1.0,0.3003905,0.8888888888888888
aifb,50,False,0.01,0.01,64,16,0.5,0.007114223,1.0,0.007114223,1.0,0.28705302,0.8888888888888888
aifb,50,False,0.01,0.01,64,16,0.8,0.006643808,1.0,0.006643808,1.0,0.25473928,0.9166666666666666
aifb,50,False,0.01,0.01,64,16,0.9,0.013190872,1.0,0.013190872,1.0,0.23453201,0.9166666666666666
aifb,50,False,0.01,0.01,64,32,0.2,0.0067368955,1.0,0.0067368955,1.0,0.25163066,0.9166666666666666
aifb,50,False,0.01,0.01,64,32,0.5,0.0058932165,1.0,0.0058932165,1.0,0.3044356,0.8888888888888888
aifb,50,False,0.01,0.01,64,32,0.8,0.0055257124,1.0,0.0055257124,1.0,0.26214805,0.9166666666666666
aifb,50,False,0.01,0.01,64,32,0.9,0.007603079,1.0,0.007603079,1.0,0.24809986,0.9166666666666666
aifb,50,False,0.01,0.1,8,4,0.2,0.23629592,0.9428571428571428,0.23629592,0.9428571428571428,0.40401042,0.8333333333333334
aifb,50,False,0.01,0.1,8,4,0.5,0.29633212,0.9357142857142857,0.29633212,0.9357142857142857,0.39507148,0.9166666666666666
aifb,50,False,0.01,0.1,8,4,0.8,0.41600147,0.8714285714285714,0.41600147,0.8714285714285714,0.53123736,0.8333333333333334
aifb,50,False,0.01,0.1,8,4,0.9,0.46247754,0.8714285714285714,0.46247754,0.8714285714285714,0.58036053,0.8333333333333334
aifb,50,False,0.01,0.1,8,8,0.2,0.18344693,0.95,0.18344693,0.95,0.28970122,0.9166666666666666
aifb,50,False,0.01,0.1,8,8,0.5,0.17896985,0.9571428571428572,0.17896985,0.9571428571428572,0.2840569,0.9166666666666666
aifb,50,False,0.01,0.1,8,8,0.8,0.28663787,0.9142857142857143,0.28663787,0.9142857142857143,0.43608797,0.8611111111111112
aifb,50,False,0.01,0.1,8,8,0.9,0.40142033,0.9285714285714286,0.40142033,0.9285714285714286,0.53212285,0.8611111111111112
aifb,50,False,0.01,0.1,8,16,0.2,0.17056976,0.95,0.17056976,0.95,0.33816734,0.8888888888888888
aifb,50,False,0.01,0.1,8,16,0.5,0.16679326,0.9642857142857143,0.16679326,0.9642857142857143,0.3536636,0.8888888888888888
aifb,50,False,0.01,0.1,8,16,0.8,0.26432195,0.95,0.26432195,0.95,0.38501057,0.8888888888888888
aifb,50,False,0.01,0.1,8,16,0.9,0.3660179,0.8714285714285714,0.3660179,0.8714285714285714,0.50772876,0.8333333333333334
aifb,50,False,0.01,0.1,8,32,0.2,0.10093862,0.9714285714285714,0.10093862,0.9714285714285714,0.32435167,0.8888888888888888
aifb,50,False,0.01,0.1,8,32,0.5,0.14265133,0.95,0.14265133,0.95,0.34655637,0.8888888888888888
